Date,Event,Type
27/07/2016,Revolution Anniversary Celebration,Holidays in Cuba
10/10/2016,Beginning of the War of Independence,Holidays in Cuba
06/11/2016,Daylight Saving Time ends,Holidays in Cuba
02/12/2016,Granma Commemoration,Holidays in Cuba
25/12/2016,Christmas Day,Holidays in Cuba
31/12/2016,New Year's Eve,Holidays in Cuba
01/01/2017,Liberation Day,Holidays in Cuba
02/01/2017,New Year Day,Holidays in Cuba
06/01/2017,Epiphany,Holidays in Cuba
28/01/2017,José Martí´s Birthday Memorial,Holidays in Cuba
12/03/2017,Daylight Saving Time starts,Holidays in Cuba
09/04/2017,Palm Sunday,Holidays in Cuba
13/04/2017,Maundy Thursday,Holidays in Cuba
14/04/2017,Good Friday,Holidays in Cuba
01/05/2017,Labor Day / May Day,Holidays in Cuba
14/05/2017,Mother´s Day,Holidays in Cuba
20/05/2017,Independence Day,Holidays in Cuba
25/07/2017,Revolution Anniversary,Holidays in Cuba
26/07/2017,Day of the Rebellion,Holidays in Cuba
27/07/2017,Revolution Anniversary Celebration,Holidays in Cuba
10/10/2017,Beginning of the War of Independence,Holidays in Cuba
05/11/2017,Daylight Saving Time ends,Holidays in Cuba
25/12/2017,Christmas Day,Holidays in Cuba
31/12/2017,New Year's Eve,Holidays in Cuba
01/01/2018,Liberation Day,Holidays in Cuba
02/01/2018,New Year Day,Holidays in Cuba
06/01/2018,Epiphany,Holidays in Cuba
28/01/2018,José Martí´s Birthday Memorial,Holidays in Cuba
11/03/2018,Daylight Saving Time starts,Holidays in Cuba
25/03/2018,Palm Sunday,Holidays in Cuba
29/03/2018,Maundy Thursday,Holidays in Cuba
30/03/2018,Good Friday,Holidays in Cuba
01/05/2018,Labor Day / May Day,Holidays in Cuba
13/05/2018,Mother´s Day,Holidays in Cuba
20/05/2018,Independence Day,Holidays in Cuba
25/07/2018,Revolution Anniversary,Holidays in Cuba
26/07/2018,Day of the Rebellion,Holidays in Cuba
27/07/2018,Revolution Anniversary Celebration,Holidays in Cuba
10/10/2018,Beginning of the War of Independence,Holidays in Cuba
04/11/2018,Daylight Saving Time ends,Holidays in Cuba
25/12/2018,Christmas Day,Holidays in Cuba
01/01/2016,New Year,Holidays in Cape Verde
13/01/2016,Democracy Day,Holidays in Cape Verde
20/01/2016,Heroes' Day,Holidays in Cape Verde
09/02/2016,Carnival,Holidays in Cape Verde
10/02/2016,Ash Wednesday,Holidays in Cape Verde
01/05/2016,Labour Day,Holidays in Cape Verde
08/05/2016,Mother's Day,Holidays in Cape Verde
01/06/2016,Children's Day,Holidays in Cape Verde
19/06/2016,Father's Day,Holidays in Cape Verde
05/07/2016,Independence Day,Holidays in Cape Verde
15/08/2016,Assumption of Mary,Holidays in Cape Verde
12/09/2016,National Day,Holidays in Cape Verde
01/11/2016,All Saints' Day,Holidays in Cape Verde
25/12/2016,Christmas Day,Holidays in Cape Verde
01/01/2017,New Year,Holidays in Cape Verde
13/01/2017,Democracy Day,Holidays in Cape Verde
20/01/2017,Heroes' Day,Holidays in Cape Verde
01/05/2017,Labour Day,Holidays in Cape Verde
14/05/2017,Mother's Day,Holidays in Cape Verde
01/06/2017,Children's Day,Holidays in Cape Verde
18/06/2017,Father's Day,Holidays in Cape Verde
05/07/2017,Independence Day,Holidays in Cape Verde
15/08/2017,Assumption of Mary,Holidays in Cape Verde
12/09/2017,National Day,Holidays in Cape Verde
01/11/2017,All Saints' Day,Holidays in Cape Verde
25/12/2017,Christmas Day,Holidays in Cape Verde
01/01/2018,New Year,Holidays in Cape Verde
13/01/2018,Democracy Day,Holidays in Cape Verde
20/01/2018,Heroes' Day,Holidays in Cape Verde
01/05/2018,Labour Day,Holidays in Cape Verde
13/05/2018,Mother's Day,Holidays in Cape Verde
01/06/2018,Children's Day,Holidays in Cape Verde
17/06/2018,Father's Day,Holidays in Cape Verde
05/07/2018,Independence Day,Holidays in Cape Verde
15/08/2018,Assumption of Mary,Holidays in Cape Verde
12/09/2018,National Day,Holidays in Cape Verde
01/11/2018,All Saints' Day,Holidays in Cape Verde
25/12/2018,Christmas Day,Holidays in Cape Verde
01/01/2016,New Year's Day,Holidays in Curaçao
08/02/2016,Carnival Monday,Holidays in Curaçao
25/03/2016,Good Friday,Holidays in Curaçao
28/03/2016,Easter Monday,Holidays in Curaçao
27/04/2016,King's Birthday,Holidays in Curaçao
01/05/2016,Labor Day / May Day,Holidays in Curaçao
05/05/2016,Ascension Day,Holidays in Curaçao
08/05/2016,Mother's Day,Holidays in Curaçao
05/06/2016,Father's Day,Holidays in Curaçao
02/07/2016,Flag Day,Holidays in Curaçao
10/10/2016,Curaçao Day,Holidays in Curaçao
25/12/2016,Christmas Day,Holidays in Curaçao
26/12/2016,Boxing Day,Holidays in Curaçao
01/01/2017,New Year's Day,Holidays in Curaçao
27/02/2017,Carnival Monday,Holidays in Curaçao
14/04/2017,Good Friday,Holidays in Curaçao
17/04/2017,Easter Monday,Holidays in Curaçao
27/04/2017,King's Birthday,Holidays in Curaçao
01/05/2017,Labor Day / May Day,Holidays in Curaçao
14/05/2017,Mother's Day,Holidays in Curaçao
25/05/2017,Ascension Day,Holidays in Curaçao
04/06/2017,Father's Day,Holidays in Curaçao
02/07/2017,Flag Day,Holidays in Curaçao
10/10/2017,Curaçao Day,Holidays in Curaçao
25/12/2017,Christmas Day,Holidays in Curaçao
26/12/2017,Boxing Day,Holidays in Curaçao
01/01/2018,New Year's Day,Holidays in Curaçao
12/02/2018,Carnival Monday,Holidays in Curaçao
30/03/2018,Good Friday,Holidays in Curaçao
02/04/2018,Easter Monday,Holidays in Curaçao
27/04/2018,King's Birthday,Holidays in Curaçao
01/05/2018,Labor Day / May Day,Holidays in Curaçao
10/05/2018,Ascension Day,Holidays in Curaçao
13/05/2018,Mother's Day,Holidays in Curaçao
03/06/2018,Father's Day,Holidays in Curaçao
02/07/2018,Flag Day,Holidays in Curaçao
10/10/2018,Curaçao Day,Holidays in Curaçao
25/12/2018,Christmas Day,Holidays in Curaçao
26/12/2018,Boxing Day,Holidays in Curaçao
01/01/2016,New Year's Day,Holidays in Cyprus
06/01/2016,Epiphany,Holidays in Cyprus
14/03/2016,Green Monday,Holidays in Cyprus
25/03/2016,Greek Independence Day,Holidays in Cyprus
27/03/2016,Daylight Saving Time starts,Holidays in Cyprus
01/04/2016,Cyprus National Holiday,Holidays in Cyprus
29/04/2016,Good Friday (Orthodox),Holidays in Cyprus
30/04/2016,Holy Saturday (Orthodox),Holidays in Cyprus
01/05/2016,Labour Day/May Day,Holidays in Cyprus
01/05/2016,Easter Sunday (Orthodox),Holidays in Cyprus
02/05/2016,Easter Monday (Orthodox),Holidays in Cyprus
20/06/2016,Orthodox Pentecost Monday,Holidays in Cyprus
15/08/2016,Assumption of the Virgin Mary,Holidays in Cyprus
01/10/2016,Cyprus Independence Day,Holidays in Cyprus
28/10/2016,Ochi Day,Holidays in Cyprus
30/10/2016,Daylight Saving Time ends,Holidays in Cyprus
24/12/2016,Christmas Eve,Holidays in Cyprus
25/12/2016,Christmas Day,Holidays in Cyprus
26/12/2016,Boxing Day,Holidays in Cyprus
31/12/2016,New Year's Eve,Holidays in Cyprus
01/01/2017,New Year's Day,Holidays in Cyprus
06/01/2017,Epiphany,Holidays in Cyprus
27/02/2017,Green Monday,Holidays in Cyprus
25/03/2017,Greek Independence Day,Holidays in Cyprus
26/03/2017,Daylight Saving Time starts,Holidays in Cyprus
01/04/2017,Cyprus National Holiday,Holidays in Cyprus
14/04/2017,Good Friday (Orthodox),Holidays in Cyprus
15/04/2017,Holy Saturday (Orthodox),Holidays in Cyprus
16/04/2017,Easter Sunday (Orthodox),Holidays in Cyprus
17/04/2017,Easter Monday (Orthodox),Holidays in Cyprus
01/05/2017,Labour Day/May Day,Holidays in Cyprus
05/06/2017,Orthodox Pentecost Monday,Holidays in Cyprus
15/08/2017,Assumption of the Virgin Mary,Holidays in Cyprus
01/10/2017,Cyprus Independence Day,Holidays in Cyprus
28/10/2017,Ochi Day,Holidays in Cyprus
29/10/2017,Daylight Saving Time ends,Holidays in Cyprus
24/12/2017,Christmas Eve,Holidays in Cyprus
25/12/2017,Christmas Day,Holidays in Cyprus
26/12/2017,Boxing Day,Holidays in Cyprus
31/12/2017,New Year's Eve,Holidays in Cyprus
01/01/2018,New Year's Day,Holidays in Cyprus
06/01/2018,Epiphany,Holidays in Cyprus
19/02/2018,Green Monday,Holidays in Cyprus
25/03/2018,Daylight Saving Time starts,Holidays in Cyprus
25/03/2018,Greek Independence Day,Holidays in Cyprus
01/04/2018,Cyprus National Holiday,Holidays in Cyprus
06/04/2018,Good Friday (Orthodox),Holidays in Cyprus
07/04/2018,Holy Saturday (Orthodox),Holidays in Cyprus
08/04/2018,Easter Sunday (Orthodox),Holidays in Cyprus
09/04/2018,Easter Monday (Orthodox),Holidays in Cyprus
01/05/2018,Labour Day/May Day,Holidays in Cyprus
28/05/2018,Orthodox Pentecost Monday,Holidays in Cyprus
15/08/2018,Assumption of the Virgin Mary,Holidays in Cyprus
01/10/2018,Cyprus Independence Day,Holidays in Cyprus
28/10/2018,Daylight Saving Time ends,Holidays in Cyprus
28/10/2018,Ochi Day,Holidays in Cyprus
24/12/2018,Christmas Eve,Holidays in Cyprus
25/12/2018,Christmas Day,Holidays in Cyprus
26/12/2018,Boxing Day,Holidays in Cyprus
01/01/2016,Restoration of the Czech Independence Day,Holidays in Czech Republic
01/01/2016,New Year's Day,Holidays in Czech Republic
25/03/2016,Good Friday,Holidays in Czech Republic
28/03/2016,Easter Monday,Holidays in Czech Republic
01/05/2016,Labor Day / May Day,Holidays in Czech Republic
08/05/2016,Victory in Europe Day,Holidays in Czech Republic
05/07/2016,Saints Cyril and Methodius,Holidays in Czech Republic
06/07/2016,Jan Hus Day,Holidays in Czech Republic
28/09/2016,St. Wenceslas Day,Holidays in Czech Republic
28/10/2016,Independent Czechoslovak State Day,Holidays in Czech Republic
17/11/2016,Struggle for Freedom and Democracy Day,Holidays in Czech Republic
24/12/2016,Christmas Eve,Holidays in Czech Republic
25/12/2016,Christmas Day,Holidays in Czech Republic
26/12/2016,St. Stephen's Day,Holidays in Czech Republic
01/01/2017,Restoration of the Czech Independence Day,Holidays in Czech Republic
01/01/2017,New Year's Day,Holidays in Czech Republic
14/04/2017,Good Friday,Holidays in Czech Republic
17/04/2017,Easter Monday,Holidays in Czech Republic
01/05/2017,Labor Day / May Day,Holidays in Czech Republic
08/05/2017,Victory in Europe Day,Holidays in Czech Republic
05/07/2017,Saints Cyril and Methodius,Holidays in Czech Republic
06/07/2017,Jan Hus Day,Holidays in Czech Republic
28/09/2017,St. Wenceslas Day,Holidays in Czech Republic
28/10/2017,Independent Czechoslovak State Day,Holidays in Czech Republic
17/11/2017,Struggle for Freedom and Democracy Day,Holidays in Czech Republic
24/12/2017,Christmas Eve,Holidays in Czech Republic
25/12/2017,Christmas Day,Holidays in Czech Republic
26/12/2017,St. Stephen's Day,Holidays in Czech Republic
01/01/2018,Restoration of the Czech Independence Day,Holidays in Czech Republic
01/01/2018,New Year's Day,Holidays in Czech Republic
30/03/2018,Good Friday,Holidays in Czech Republic
02/04/2018,Easter Monday,Holidays in Czech Republic
01/05/2018,Labor Day / May Day,Holidays in Czech Republic
08/05/2018,Victory in Europe Day,Holidays in Czech Republic
05/07/2018,Saints Cyril and Methodius,Holidays in Czech Republic
06/07/2018,Jan Hus Day,Holidays in Czech Republic
28/09/2018,St. Wenceslas Day,Holidays in Czech Republic
28/10/2018,Independent Czechoslovak State Day,Holidays in Czech Republic
17/11/2018,Struggle for Freedom and Democracy Day,Holidays in Czech Republic
24/12/2018,Christmas Eve,Holidays in Czech Republic
25/12/2018,Christmas Day,Holidays in Czech Republic
26/12/2018,St. Stephen's Day,Holidays in Czech Republic
01/01/2016,New Year's Day,Holidays in Denmark
07/02/2016,Carnival,Holidays in Denmark
20/03/2016,Palm Sunday,Holidays in Denmark
24/03/2016,Maundy Thursday,Holidays in Denmark
25/03/2016,Good Friday,Holidays in Denmark
27/03/2016,Daylight Saving Time starts,Holidays in Denmark
27/03/2016,Easter Day,Holidays in Denmark
28/03/2016,Easter Monday,Holidays in Denmark
22/04/2016,Great Prayer Day,Holidays in Denmark
01/05/2016,Labor Day / May Day,Holidays in Denmark
05/05/2016,Ascension Day,Holidays in Denmark
15/05/2016,Whit Sunday,Holidays in Denmark
16/05/2016,Whit Monday,Holidays in Denmark
05/06/2016,Constitution Day,Holidays in Denmark
30/10/2016,Daylight Saving Time ends,Holidays in Denmark
24/12/2016,Christmas Eve,Holidays in Denmark
25/12/2016,Christmas Day,Holidays in Denmark
26/12/2016,2nd Christmas Day,Holidays in Denmark
31/12/2016,New Year's Eve,Holidays in Denmark
01/01/2017,New Year's Day,Holidays in Denmark
26/02/2017,Carnival,Holidays in Denmark
26/03/2017,Daylight Saving Time starts,Holidays in Denmark
09/04/2017,Palm Sunday,Holidays in Denmark
13/04/2017,Maundy Thursday,Holidays in Denmark
14/04/2017,Good Friday,Holidays in Denmark
16/04/2017,Easter Day,Holidays in Denmark
17/04/2017,Easter Monday,Holidays in Denmark
01/05/2017,Labor Day / May Day,Holidays in Denmark
12/05/2017,Great Prayer Day,Holidays in Denmark
25/05/2017,Ascension Day,Holidays in Denmark
04/06/2017,Whit Sunday,Holidays in Denmark
05/06/2017,Whit Monday,Holidays in Denmark
05/06/2017,Constitution Day,Holidays in Denmark
29/10/2017,Daylight Saving Time ends,Holidays in Denmark
24/12/2017,Christmas Eve,Holidays in Denmark
25/12/2017,Christmas Day,Holidays in Denmark
26/12/2017,2nd Christmas Day,Holidays in Denmark
31/12/2017,New Year's Eve,Holidays in Denmark
01/01/2018,New Year's Day,Holidays in Denmark
11/02/2018,Carnival,Holidays in Denmark
25/03/2018,Daylight Saving Time starts,Holidays in Denmark
25/03/2018,Palm Sunday,Holidays in Denmark
29/03/2018,Maundy Thursday,Holidays in Denmark
30/03/2018,Good Friday,Holidays in Denmark
01/04/2018,Easter Day,Holidays in Denmark
02/04/2018,Easter Monday,Holidays in Denmark
27/04/2018,Great Prayer Day,Holidays in Denmark
01/05/2018,Labor Day / May Day,Holidays in Denmark
10/05/2018,Ascension Day,Holidays in Denmark
20/05/2018,Whit Sunday,Holidays in Denmark
21/05/2018,Whit Monday,Holidays in Denmark
05/06/2018,Constitution Day,Holidays in Denmark
28/10/2018,Daylight Saving Time ends,Holidays in Denmark
24/12/2018,Christmas Eve,Holidays in Denmark
25/12/2018,Christmas Day,Holidays in Denmark
26/12/2018,2nd Christmas Day,Holidays in Denmark
01/01/2016,New Year,Holidays in Djibouti
27/06/2016,Independence Day,Holidays in Djibouti
05/07/2016,Eid al-Fitr,Holidays in Djibouti
13/09/2016,Eid al-Adha,Holidays in Djibouti
14/09/2016,Eid al-Adha,Holidays in Djibouti
15/09/2016,Eid al-Adha,Holidays in Djibouti
03/10/2016,Muharram,Holidays in Djibouti
01/01/2017,New Year,Holidays in Djibouti
26/06/2017,Eid al-Fitr,Holidays in Djibouti
27/06/2017,Independence Day,Holidays in Djibouti
02/09/2017,Eid al-Adha,Holidays in Djibouti
03/09/2017,Eid al-Adha,Holidays in Djibouti
04/09/2017,Eid al-Adha,Holidays in Djibouti
22/09/2017,Muharram,Holidays in Djibouti
01/01/2018,New Year,Holidays in Djibouti
15/06/2018,Eid al-Fitr,Holidays in Djibouti
27/06/2018,Independence Day,Holidays in Djibouti
22/08/2018,Eid al-Adha,Holidays in Djibouti
23/08/2018,Eid al-Adha,Holidays in Djibouti
24/08/2018,Eid al-Adha,Holidays in Djibouti
12/09/2018,Muharram,Holidays in Djibouti
01/01/2016,New Year's Day,Holidays in Dominican Republic
06/01/2016,Epiphany,Holidays in Dominican Republic
21/01/2016,Our Lady of Altagracia,Holidays in Dominican Republic
25/01/2016,Duarte´s Day,Holidays in Dominican Republic
27/02/2016,Independence Day,Holidays in Dominican Republic
24/03/2016,Maundy Thursday,Holidays in Dominican Republic
25/03/2016,Good Friday,Holidays in Dominican Republic
01/05/2016,Labor Day,Holidays in Dominican Republic
02/05/2016,Labor Day observed,Holidays in Dominican Republic
26/05/2016,Corpus Christi,Holidays in Dominican Republic
29/05/2016,Mother's Day,Holidays in Dominican Republic
31/07/2016,Father's Day,Holidays in Dominican Republic
16/08/2016,Restoration Day,Holidays in Dominican Republic
24/09/2016,Our Lady of Las Mercedes,Holidays in Dominican Republic
06/11/2016,Constitution Day,Holidays in Dominican Republic
24/12/2016,Christmas Eve,Holidays in Dominican Republic
25/12/2016,Christmas Day,Holidays in Dominican Republic
31/12/2016,New Year's Eve,Holidays in Dominican Republic
01/01/2017,New Year's Day,Holidays in Dominican Republic
06/01/2017,Epiphany,Holidays in Dominican Republic
21/01/2017,Our Lady of Altagracia,Holidays in Dominican Republic
30/01/2017,Duarte´s Day,Holidays in Dominican Republic
27/02/2017,Independence Day,Holidays in Dominican Republic
13/04/2017,Maundy Thursday,Holidays in Dominican Republic
14/04/2017,Good Friday,Holidays in Dominican Republic
01/05/2017,Labor Day,Holidays in Dominican Republic
28/05/2017,Mother's Day,Holidays in Dominican Republic
15/06/2017,Corpus Christi,Holidays in Dominican Republic
30/07/2017,Father's Day,Holidays in Dominican Republic
16/08/2017,Restoration Day,Holidays in Dominican Republic
24/09/2017,Our Lady of Las Mercedes,Holidays in Dominican Republic
06/11/2017,Constitution Day,Holidays in Dominican Republic
24/12/2017,Christmas Eve,Holidays in Dominican Republic
25/12/2017,Christmas Day,Holidays in Dominican Republic
31/12/2017,New Year's Eve,Holidays in Dominican Republic
01/01/2018,New Year's Day,Holidays in Dominican Republic
06/01/2018,Epiphany,Holidays in Dominican Republic
21/01/2018,Our Lady of Altagracia,Holidays in Dominican Republic
29/01/2018,Duarte´s Day,Holidays in Dominican Republic
27/02/2018,Independence Day,Holidays in Dominican Republic
29/03/2018,Maundy Thursday,Holidays in Dominican Republic
30/03/2018,Good Friday,Holidays in Dominican Republic
01/05/2018,Labor Day,Holidays in Dominican Republic
27/05/2018,Mother's Day,Holidays in Dominican Republic
31/05/2018,Corpus Christi,Holidays in Dominican Republic
29/07/2018,Father's Day,Holidays in Dominican Republic
16/08/2018,Restoration Day,Holidays in Dominican Republic
24/09/2018,Our Lady of Las Mercedes,Holidays in Dominican Republic
05/11/2018,Constitution Day,Holidays in Dominican Republic
24/12/2018,Christmas Eve,Holidays in Dominican Republic
25/12/2018,Christmas Day,Holidays in Dominican Republic
01/01/2016,New Year's Day,Holidays in Netherlands
25/03/2016,Good Friday,Holidays in Netherlands
27/03/2016,Easter Day,Holidays in Netherlands
28/03/2016,Easter Monday,Holidays in Netherlands
27/04/2016,King's Birthday,Holidays in Netherlands
05/05/2016,Liberation Day,Holidays in Netherlands
05/05/2016,Ascension Day,Holidays in Netherlands
15/05/2016,Whit Sunday,Holidays in Netherlands
16/05/2016,Whit Monday,Holidays in Netherlands
05/12/2016,St Nicholas' Eve/Sinterklaas,Holidays in Netherlands
24/12/2016,Christmas Eve,Holidays in Netherlands
25/12/2016,Christmas Day,Holidays in Netherlands
26/12/2016,Second Day of Christmas,Holidays in Netherlands
31/12/2016,New Year's Eve,Holidays in Netherlands
01/01/2017,New Year's Day,Holidays in Netherlands
14/04/2017,Good Friday,Holidays in Netherlands
16/04/2017,Easter Day,Holidays in Netherlands
17/04/2017,Easter Monday,Holidays in Netherlands
27/04/2017,King's Birthday,Holidays in Netherlands
05/05/2017,Liberation Day,Holidays in Netherlands
25/05/2017,Ascension Day,Holidays in Netherlands
04/06/2017,Whit Sunday,Holidays in Netherlands
05/06/2017,Whit Monday,Holidays in Netherlands
05/12/2017,St Nicholas' Eve/Sinterklaas,Holidays in Netherlands
24/12/2017,Christmas Eve,Holidays in Netherlands
25/12/2017,Christmas Day,Holidays in Netherlands
26/12/2017,Second Day of Christmas,Holidays in Netherlands
31/12/2017,New Year's Eve,Holidays in Netherlands
01/01/2018,New Year's Day,Holidays in Netherlands
30/03/2018,Good Friday,Holidays in Netherlands
01/04/2018,Easter Day,Holidays in Netherlands
02/04/2018,Easter Monday,Holidays in Netherlands
27/04/2018,King's Birthday,Holidays in Netherlands
05/05/2018,Liberation Day,Holidays in Netherlands
10/05/2018,Ascension Day,Holidays in Netherlands
20/05/2018,Whit Sunday,Holidays in Netherlands
21/05/2018,Whit Monday,Holidays in Netherlands
05/12/2018,St Nicholas' Eve/Sinterklaas,Holidays in Netherlands
24/12/2018,Christmas Eve,Holidays in Netherlands
25/12/2018,Christmas Day,Holidays in Netherlands
26/12/2018,Second Day of Christmas,Holidays in Netherlands
01/01/2016,New Year,Holidays in Algeria
01/05/2016,May Day,Holidays in Algeria
05/07/2016,Eid al-Fitr,Holidays in Algeria
05/07/2016,Independence Day,Holidays in Algeria
08/07/2016,Eid al-Fitr,Holidays in Algeria
13/09/2016,Eid al-Adha,Holidays in Algeria
14/09/2016,Eid al-Adha,Holidays in Algeria
03/10/2016,Muharram,Holidays in Algeria
11/10/2016,Day of Achura,Holidays in Algeria
01/11/2016,Anniversary of the Revolution,Holidays in Algeria
12/12/2016,The Prophet's Birthday,Holidays in Algeria
01/01/2017,New Year,Holidays in Algeria
01/05/2017,May Day,Holidays in Algeria
26/06/2017,Eid al-Fitr,Holidays in Algeria
27/06/2017,Eid al-Fitr,Holidays in Algeria
05/07/2017,Independence Day,Holidays in Algeria
02/09/2017,Eid al-Adha,Holidays in Algeria
03/09/2017,Eid al-Adha,Holidays in Algeria
22/09/2017,Muharram,Holidays in Algeria
30/09/2017,Day of Achura,Holidays in Algeria
01/11/2017,Anniversary of the Revolution,Holidays in Algeria
01/12/2017,The Prophet's Birthday,Holidays in Algeria
01/01/2018,New Year,Holidays in Algeria
01/05/2018,May Day,Holidays in Algeria
15/06/2018,Eid al-Fitr,Holidays in Algeria
16/06/2018,Eid al-Fitr,Holidays in Algeria
05/07/2018,Independence Day,Holidays in Algeria
22/08/2018,Eid al-Adha,Holidays in Algeria
23/08/2018,Eid al-Adha,Holidays in Algeria
12/09/2018,Muharram,Holidays in Algeria
20/09/2018,Day of Achura,Holidays in Algeria
01/11/2018,Anniversary of the Revolution,Holidays in Algeria
21/11/2018,The Prophet's Birthday,Holidays in Algeria
01/01/2016,New Year's Day,Holidays in Ecuador
08/02/2016,Carnival,Holidays in Ecuador
09/02/2016,Carnival,Holidays in Ecuador
13/02/2016,Special working day (compensation for Carnival Monday),Holidays in Ecuador
20/02/2016,Special working day (compensation for Carnival Tuesday),Holidays in Ecuador
24/03/2016,Maundy Thursday,Holidays in Ecuador
25/03/2016,Good Friday,Holidays in Ecuador
26/03/2016,Holy Saturday,Holidays in Ecuador
27/03/2016,Easter Sunday,Holidays in Ecuador
01/05/2016,Labor Day / May Day,Holidays in Ecuador
24/05/2016,The Battle of Pichincha,Holidays in Ecuador
24/07/2016,Simón Bolívar´s Birthday Memorial,Holidays in Ecuador
10/08/2016,Independence Day,Holidays in Ecuador
09/10/2016,Independence of Guayaquil,Holidays in Ecuador
02/11/2016,All Soul´s Day,Holidays in Ecuador
03/11/2016,Independence of Cuenca,Holidays in Ecuador
25/12/2016,Christmas Day,Holidays in Ecuador
31/12/2016,New Year's Eve,Holidays in Ecuador
01/01/2017,New Year's Day,Holidays in Ecuador
27/02/2017,Carnival,Holidays in Ecuador
28/02/2017,Carnival,Holidays in Ecuador
04/03/2017,Special working day (compensation for Carnival Monday),Holidays in Ecuador
11/03/2017,Special working day (compensation for Carnival Tuesday),Holidays in Ecuador
13/04/2017,Maundy Thursday,Holidays in Ecuador
14/04/2017,Good Friday,Holidays in Ecuador
15/04/2017,Holy Saturday,Holidays in Ecuador
16/04/2017,Easter Sunday,Holidays in Ecuador
01/05/2017,Labor Day / May Day,Holidays in Ecuador
24/05/2017,The Battle of Pichincha,Holidays in Ecuador
24/07/2017,Simón Bolívar´s Birthday Memorial,Holidays in Ecuador
10/08/2017,Independence Day,Holidays in Ecuador
09/10/2017,Independence of Guayaquil,Holidays in Ecuador
02/11/2017,All Soul´s Day,Holidays in Ecuador
03/11/2017,Independence of Cuenca,Holidays in Ecuador
25/12/2017,Christmas Day,Holidays in Ecuador
31/12/2017,New Year's Eve,Holidays in Ecuador
01/01/2018,New Year's Day,Holidays in Ecuador
12/02/2018,Carnival,Holidays in Ecuador
13/02/2018,Carnival,Holidays in Ecuador
17/02/2018,Special working day (compensation for Carnival Monday),Holidays in Ecuador
24/02/2018,Special working day (compensation for Carnival Tuesday),Holidays in Ecuador
29/03/2018,Maundy Thursday,Holidays in Ecuador
30/03/2018,Good Friday,Holidays in Ecuador
31/03/2018,Holy Saturday,Holidays in Ecuador
01/04/2018,Easter Sunday,Holidays in Ecuador
01/05/2018,Labor Day / May Day,Holidays in Ecuador
24/05/2018,The Battle of Pichincha,Holidays in Ecuador
24/07/2018,Simón Bolívar´s Birthday Memorial,Holidays in Ecuador
10/08/2018,Independence Day,Holidays in Ecuador
09/10/2018,Independence of Guayaquil,Holidays in Ecuador
02/11/2018,All Soul´s Day,Holidays in Ecuador
03/11/2018,Independence of Cuenca,Holidays in Ecuador
25/12/2018,Christmas Day,Holidays in Ecuador
01/01/2016,New Year's Day,Holidays in Estonia
24/02/2016,Independence Day,Holidays in Estonia
25/03/2016,Good Friday,Holidays in Estonia
27/03/2016,Easter Sunday,Holidays in Estonia
01/05/2016,Labor Day,Holidays in Estonia
15/05/2016,Whitsunday,Holidays in Estonia
23/06/2016,Victory Day,Holidays in Estonia
24/06/2016,Midsummer Day,Holidays in Estonia
20/08/2016,Independence Restoration Day,Holidays in Estonia
24/12/2016,Christmas Eve,Holidays in Estonia
25/12/2016,Christmas Day,Holidays in Estonia
26/12/2016,Boxing Day,Holidays in Estonia
01/01/2017,New Year's Day,Holidays in Estonia
24/02/2017,Independence Day,Holidays in Estonia
14/04/2017,Good Friday,Holidays in Estonia
16/04/2017,Easter Sunday,Holidays in Estonia
01/05/2017,Labor Day,Holidays in Estonia
04/06/2017,Whitsunday,Holidays in Estonia
23/06/2017,Victory Day,Holidays in Estonia
24/06/2017,Midsummer Day,Holidays in Estonia
20/08/2017,Independence Restoration Day,Holidays in Estonia
24/12/2017,Christmas Eve,Holidays in Estonia
25/12/2017,Christmas Day,Holidays in Estonia
26/12/2017,Boxing Day,Holidays in Estonia
01/01/2018,New Year's Day,Holidays in Estonia
24/02/2018,Independence Day,Holidays in Estonia
30/03/2018,Good Friday,Holidays in Estonia
01/04/2018,Easter Sunday,Holidays in Estonia
01/05/2018,Labor Day,Holidays in Estonia
20/05/2018,Whitsunday,Holidays in Estonia
23/06/2018,Victory Day,Holidays in Estonia
24/06/2018,Midsummer Day,Holidays in Estonia
20/08/2018,Independence Restoration Day,Holidays in Estonia
24/12/2018,Christmas Eve,Holidays in Estonia
25/12/2018,Christmas Day,Holidays in Estonia
26/12/2018,Boxing Day,Holidays in Estonia
07/01/2016,Coptic Christmas Day,Holidays in Egypt
25/01/2016,Revolution Day January 25,Holidays in Egypt
25/04/2016,Sinai Liberation Day,Holidays in Egypt
29/04/2016,Coptic Good Friday,Holidays in Egypt
30/04/2016,Coptic Holy Saturday,Holidays in Egypt
01/05/2016,Coptic Easter Sunday,Holidays in Egypt
01/05/2016,Labor Day,Holidays in Egypt
02/05/2016,Spring Festival,Holidays in Egypt
30/06/2016,June 30 Revolution,Holidays in Egypt
07/07/2016,Eid el Fitr,Holidays in Egypt
08/07/2016,End of Ramadan Day 2,Holidays in Egypt
09/07/2016,End of Ramadan Day 3,Holidays in Egypt
23/07/2016,Revolution Day July 23,Holidays in Egypt
15/08/2016,Flooding of the Nile,Holidays in Egypt
11/09/2016,Coptic New Year,Holidays in Egypt
13/09/2016,Feast of the Sacrifice,Holidays in Egypt
14/09/2016,Feast of the Sacrifice Day 2,Holidays in Egypt
